index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
5294,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2007.0,Action,Namco Bandai Games,0.15,0.05,0.14,0.01,0.35,,,,,,
5326,Tropico 4,X360,2011.0,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Haemimont,T
"5336,Tomb Raider (2013),PC,2013.0,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,""Crystal Dynamics, Nixxes Software"",M"
5443,Bejeweled 3,DS,2010.0,Puzzle,PopCap Games,0.29,0.02,0.0,0.02,0.33,75.0,9.0,tbd,,PopCap,E
5492,Custom Robo,N64,1999.0,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,,,,,,
5588,Final Fantasy XI,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.08,0.06,0.15,0.02,0.32,85.0,49.0,6.9,66.0,Square Enix,T
5624,Singularity,X360,2010.0,Shooter,Activision,0.24,0.05,0.0,0.02,0.32,76.0,70.0,7.7,169.0,Raven Software,M
5633,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,Majesco,0.23,0.08,0.0,0.01,0.32,,,,,,
5642,Dragster,2600,1980.0,Racing,Activision,0.3,0.02,0.0,0.0,0.32,,,,,,
5655,All-Star Baseball 2005,PS2,2004.0,Sports,Acclaim Entertainment,0.16,0.12,0.0,0.04,0.32,72.0,13.0,8.6,21.0,Acclaim,E
5769,Star Wars Jedi Knight II: Jedi Outcast,XB,2002.0,Shooter,Activision,0.23,0.07,0.0,0.01,0.31,81.0,24.0,6.8,15.0,Vicarious Visions,T
5800,Slot Machine,2600,1977.0,Action,Atari,0.29,0.02,0.0,0.0,0.31,,,,,,
5857,The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000.0,Racing,Ubisoft,0.17,0.11,0.0,0.02,0.3,53.0,5.0,tbd,,Sinister Games,E
5874,Harvest Moon: The Tale of Two Towns,3DS,2010.0,Simulation,Marvelous Interactive,0.28,0.0,0.0,0.02,0.3,,,,,,
5889,NBA Live 2003,GC,2002.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,82.0,11.0,8.2,5.0,EA Canada,E
5932,Shrek the Third,DS,2007.0,Action,Activision,0.26,0.01,0.0,0.02,0.3,70.0,16.0,6.5,4.0,Vicarious Visions,E
6020,Nicktoons: Battle for Volcano Island,GC,2006.0,Action,THQ,0.22,0.06,0.0,0.01,0.29,,,7,4.0,Blue Tongue Entertainment,E
6102,Haven: Call of the King,PS2,2002.0,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28,69.0,26.0,6.9,15.0,Traveller's Tales,T
6134,Unreal Championship 2: The Liandri Conflict,XB,2005.0,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28,85.0,54.0,8.2,21.0,Epic Games,M
"6181,""The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"",GC,2005.0,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28,71.0,17.0,tbd,,Traveller's Tales,T"
6200,Pac-Man Fever,GC,2002.0,Misc,Namco Hometek,0.21,0.06,0.0,0.01,0.28,54.0,10.0,6.3,6.0,Mass Media,E
6256,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,2004.0,Action,Nintendo,0.0,0.0,0.27,0.01,0.27,,,,,,
6267,Indy 500,2600,1977.0,Racing,Atari,0.26,0.01,0.0,0.0,0.27,,,,,,
6294,Disgaea 3: Absence of Detention,PSV,2008.0,Role-Playing,Nippon Ichi Software,0.11,0.05,0.07,0.03,0.27,78.0,28.0,7.6,116.0,Nippon Ichi Software,T
6300,Flag Capture,2600,1978.0,Action,Atari,0.25,0.02,0.0,0.0,0.27,,,,,,
6343,Gun,X360,2005.0,Shooter,Activision,0.24,0.01,0.0,0.02,0.27,75.0,53.0,7.5,57.0,Neversoft Entertainment,M
"6357,Rock Revolution,PS3,2008.0,Misc,Konami,0.25,0.0,0.0,0.02,0.27,42.0,20.0,6.6,12.0,""Zoe Mode, HB Studios Multimedia"",T"
6415,Sonic X: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.19,0.07,0.0,0.0,0.27,,,,,,
6477,LEGO Harry Potter: Years 5-7,PSP,2011.0,Action,Warner Bros. Interactive Entertainment,0.1,0.1,0.0,0.06,0.26,,,tbd,,Traveller's Tales,E10+
6532,Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.18,0.07,0.0,0.0,0.26,,,,,,
6625,College Hoops 2K6,PS2,2005.0,Sports,2K,0.12,0.1,0.0,0.03,0.25,77.0,14.0,7.3,6.0,2K Sports,E
6626,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.18,0.07,0.0,0.0,0.25,,,,,,
6637,Jonah Lomu Rugby Challenge,PS3,2011.0,Sports,Home Entertainment Suppliers,0.0,0.19,0.0,0.06,0.25,64.0,6.0,,,Sidhe Interactive,E
6774,Mega Man X Collection,PS2,2006.0,Misc,Capcom,0.12,0.09,0.0,0.03,0.24,73.0,23.0,8.8,14.0,Capcom,E
6819,BioShock 2,PC,2010.0,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,88.0,36.0,8,1247.0,2K Marin,M
6831,All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.17,0.06,0.0,0.0,0.24,,,,,,
6862,Singularity,PS3,2010.0,Shooter,Activision,0.17,0.04,0.01,0.03,0.24,77.0,48.0,7.7,100.0,Raven Software,M
6900,Danganronpa: Trigger Happy Havoc,PSP,2010.0,Misc,Spike,0.0,0.0,0.24,0.0,0.24,,,,,,
6955,Jet X20,PS2,2002.0,Racing,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,,,,,,
7000,Tony Hawk's Downhill Jam,Wii,2006.0,Sports,Activision,0.21,0.0,0.0,0.02,0.23,69.0,42.0,6.2,13.0,Toys for Bob,E10+
7009,Tribes: Aerial Assault,PS2,2002.0,Shooter,Sierra Entertainment,0.11,0.09,0.0,0.03,0.23,73.0,23.0,8.8,47.0,Midway Studios - Austin,T
7109,Big Beach Sports 2,Wii,2010.0,Sports,THQ,0.09,0.11,0.0,0.02,0.23,,,tbd,,Jet Black Games,E
7189,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco,0.16,0.06,0.0,0.0,0.22,,,,,,
7211,LEGO Harry Potter: Years 5-7,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Traveller's Tales,E10+
7333,Yu Yu Hakusho: Dark Tournament,PS2,2004.0,Fighting,Atari,0.1,0.08,0.0,0.03,0.21,56.0,15.0,8.5,18.0,Digital Fiction,T
7354,Ghostbusters II,2600,1989.0,Action,Activision,0.2,0.01,0.0,0.0,0.21,,,,,,
7355,Breakaway IV,2600,1978.0,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,,,,,,
7368,Robotech: Battlecry,XB,2002.0,Shooter,TDK Mediactive,0.16,0.05,0.0,0.01,0.21,74.0,22.0,7,10.0,Vicious Cycle,T
7388,Move Fitness,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,,,,,,
7392,Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011.0,Strategy,Sega,0.0,0.0,0.21,0.0,0.21,,,,,Sega,
7407,DanceDanceRevolution II,Wii,2011.0,Misc,Konami Digital Entertainment,0.2,0.0,0.0,0.01,0.21,,,tbd,,Konami,E10+
7477,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,Majesco,0.15,0.05,0.0,0.0,0.21,,,,,,
7585,WRC: FIA World Rally Championship,PS3,2010.0,Racing,Black Bean Games,0.0,0.14,0.01,0.04,0.2,68.0,24.0,4.5,4.0,Milestone S.r.l,
7606,Famista 64,N64,2010.0,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2,,,,,,
7725,Dead Space 3,PC,2013.0,Action,Electronic Arts,0.02,0.16,0.0,0.02,0.19,78.0,16.0,6,1096.0,Visceral Games,M
7736,Test Drive Unlimited 2,PC,2011.0,Racing,Atari,0.05,0.11,0.0,0.03,0.19,72.0,19.0,5.7,253.0,Eden,T
7849,Pet Zombies,3DS,2011.0,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19,,,tbd,,1st Playable Productions,T
7930,Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,Clearwater Features,0.13,0.05,0.0,0.0,0.19,,,,,,
8024,Star Trek: Legacy,X360,2006.0,Simulation,Ubisoft,0.14,0.02,0.0,0.01,0.18,64.0,41.0,5.5,42.0,Mad Doc Software,E10+
