index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
4337,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
4373,Silent Hill: Homecoming,X360,,Action,Konami Digital Entertainment,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,Double Helix Games,M
4437,Super Breakout,2600,,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,,,,,,
4445,Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,0.26,0.13,0.0,0.04,0.44,71.0,72.0,7.2,63.0,High Moon Studios,T
4508,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.31,0.11,0.0,0.01,0.43,,,,,,
4615,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.3,0.11,0.0,0.01,0.42,,,,,,
4635,NHL Slapshot,Wii,,Sports,Unknown,0.39,0.0,0.0,0.02,0.42,76.0,25.0,8.1,7.0,EA Sports,E
4648,TERA,PC,,Role-Playing,Unknown,0.25,0.12,0.0,0.05,0.42,77.0,41.0,6.8,742.0,Bluehole Studio,M
4775,NFL GameDay 2003,PS2,,Sports,Unknown,0.2,0.15,0.0,0.05,0.4,60.0,23.0,tbd,,989 Sports,E
4818,LEGO Harry Potter: Years 5-7,3DS,,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,71.0,7.0,6.5,11.0,Traveller's Tales,E10+
4848,Harvest Moon: Save the Homeland,PS2,,Simulation,Unknown,0.19,0.15,0.0,0.05,0.4,76.0,14.0,8.8,72.0,Victor Interactive Software,E
4945,Robert Ludlum's The Bourne Conspiracy,PS3,,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39,70.0,47.0,7.6,43.0,High Moon Studios,T
4959,Silent Hill: Homecoming,PS3,,Action,Konami Digital Entertainment,0.18,0.14,0.0,0.06,0.38,71.0,41.0,6.9,143.0,Double Helix Games,M
5041,Hangman,2600,,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38,,,,,,
5070,The Golden Compass,PSP,,Action,Sega,0.11,0.16,0.0,0.1,0.37,28.0,4.0,4.1,7.0,Shiny Entertainment,E10+
5156,NBA Live 2003,XB,,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,82.0,17.0,8.8,6.0,EA Canada,E
5194,Cubix Robots for Everyone: Clash 'n' Bash,GBA,,Action,Unknown,0.26,0.1,0.0,0.01,0.36,,,,,,
5294,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,,0.15,0.05,0.14,0.01,0.35,,,,,,
5326,Tropico 4,X360,,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Haemimont,T
5336,Tomb Raider (2013),PC,,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M
5443,Bejeweled 3,DS,,Puzzle,Unknown,0.29,0.02,0.0,0.02,0.33,75.0,9.0,tbd,,PopCap,E
5492,Custom Robo,N64,,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,,,,,,
5588,Final Fantasy XI,PS2,,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,85.0,49.0,6.9,66.0,Square Enix,T
5624,Singularity,X360,,Shooter,Unknown,0.24,0.05,0.0,0.02,0.32,76.0,70.0,7.7,169.0,Raven Software,M
5633,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,,0.23,0.08,0.0,0.01,0.32,,,,,,
5642,Dragster,2600,,Racing,Activision,0.3,0.02,0.0,0.0,0.32,,,,,,
5655,All-Star Baseball 2005,PS2,,Sports,Unknown,0.16,0.12,0.0,0.04,0.32,72.0,13.0,8.6,21.0,Acclaim,E
5769,Star Wars Jedi Knight II: Jedi Outcast,XB,,Shooter,Activision,0.23,0.07,0.0,0.01,0.31,81.0,24.0,6.8,15.0,Vicarious Visions,T
5800,Slot Machine,2600,,Action,Atari,0.29,0.02,0.0,0.0,0.31,,,,,,
5857,The Dukes of Hazzard II: Daisy Dukes It Out,PS,,Racing,Unknown,0.17,0.11,0.0,0.02,0.3,53.0,5.0,tbd,,Sinister Games,E
5874,Harvest Moon: The Tale of Two Towns,3DS,,Simulation,Unknown,0.28,0.0,0.0,0.02,0.3,,,,,,
